id,count_9296,count_9701,count_0206,count_0711
1000,,,,1
1001,,2,,
1003,4,4,1,1
1005,,,,
1007,1,,,
1009,,,,
1011,,,,
1013,,,,
1015,1,3,,2
1017,,,,2
1019,,,,
1021,,,1,
1023,,6,,
1025,1,1,,
1027,1,,,
1029,,,,
1031,1,,1,
1033,,1,,
1035,,,,
1037,,,,
1039,,,,
1041,,,,
1043,,,,
1045,,,,1
1047,,,,
1049,,,2,
1051,,2,,
1053,,,,
1055,,,,
1057,,1,,
1059,,,,
1061,,,,1
1063,,,,1
1065,,,,
1067,,,,
1069,,1,,2
1071,,,,1
1073,6,9,9,2
1075,,,,
1077,,,,1
1079,1,,,
1081,1,,1,2
1083,1,1,,
1085,,,,
1087,,,,
1089,3,7,13,5
1091,,,,1
1093,,1,1,
1095,,2,,1
1097,15,16,5,3
1099,,,,
1101,,2,3,1
1103,1,,,1
1105,,,,
1107,,,,
1109,,1,,
1111,,,,
1113,,,,
1115,,,,1
1117,1,2,,1
1119,,,,
1121,,,1,
1123,,4,,1
1125,1,3,1,
1127,,,,
1129,1,1,,
1131,,,,
1133,1,1,,
2000,,,,
2013,,,,
2016,,,,
2020,,3,6,10
2050,,,,1
2060,,,,
2068,,,,
2070,,,,1
2090,,2,2,2
2100,,,,
2105,,,,
2110,,,2,1
2122,,,1,7
2130,,,1,3
2150,,,,1
2164,,,,
2170,,,1,10
2180,,,,
2185,,,,
2188,,,,
2195,,,,
2198,,,,
2220,,1,1,2
2230,,,,
2240,,1,1,
2261,,,1,1
2270,,,,
2275,,,,
2282,,,,
2290,,,,
4000,,,,
4001,,,,
4003,,,,1
4005,,1,1,2
4007,,1,,
4009,,,1,
4011,,,,
4012,,,,
4013,,7,27,8
4015,,1,,
4017,,1,,1
4019,1,1,9,3
4021,,1,2,1
4023,,,,
4025,,,1,1
4027,,,,
5000,,,,
5001,,1,,
5003,,,,
5005,1,,,
5007,5,4,1,1
5009,1,2,,
5011,,,,
5013,,,,
5015,,,,
5017,,,,
5019,,,,
5021,,1,,
5023,2,3,,
5025,1,,,
5027,1,1,,
5029,,,,
5031,1,4,,
5033,1,3,,
5035,,1,,
5037,,,,
5039,,,,
5041,,,,
5043,,,,
5045,4,3,,
5047,1,1,,
5049,1,,,
5051,5,3,,
5053,1,,,
5055,,1,,
5057,,,,
5059,,,1,
5061,2,,,
5063,2,,,
5065,,1,,
5067,,,,
5069,2,,,
5071,4,1,,
5073,,,,
5075,1,2,,
5077,,,,
5079,,,,
5081,,,,
5083,2,,,
5085,2,1,,
5087,,,,
5089,1,,,
5091,,2,,
5093,,,,
5095,,,,
5097,1,,,
5099,1,,,
5101,,1,,
5103,,,,
5105,,,,
5107,1,,,
5109,1,1,,
5111,1,,,
5113,1,,,
5115,4,1,,
5117,,,,
5119,16,3,,
5121,2,1,,
5123,1,1,,
5125,2,3,1,
5127,,,,
5129,,2,,
5131,2,,,
5133,,1,,
5135,1,,,
5137,1,1,,
5139,1,,,
5141,1,1,,
5143,3,,,
5145,,2,,
5147,,,,
5149,,,,
6000,,,,
6001,15,19,17,16
6003,,,,
6005,,2,1,3
6007,9,88,8,7
6009,1,1,,
6011,,,,
6013,10,15,12,6
6015,5,2,2,2
6017,6,6,9,7
6019,6,1,2,6
6021,5,4,,2
6023,35,67,32,36
